,,,,,,,,
,,,,,,,,
Companion Name,In Collection?,Obtainable?,Why not Obtainable?,Where do u get it?,Flavor text (Hint),Cat?,Frog?,BOU?
A Jubling's Tiny Home,Yes,Yes,,The quest Spawn of Jubjub must be completed.,The legendary ale frog was believed to be extinct until the strange brews at the Darkmoon Faire brought them out of hiding.,,YES,NO
Dart Frog,Yes,Yes,,This frog can be bought by the horde in either the Crossroads or Arathi Highlands.,"Toads and frogs are fast friends of trolls, perfect for poisons.",,YES,NO
Island Frog,No,No,Level 40 reward for slow and steady,,This little friend snuck into your boot to join you on your travels.,,YES,NO
Tree Frog,Yes,Yes,,The Darkmoon Faire will have a child named Flik which will give this frog.,Known for their powerful legs and keen eyesight.,,YES,YES
Wood Frog,Yes,Yes,,The Darkmoon Faire will have a child named Flik which will give this frog.,Vendors at the Darkmoon Faire offer strange and exotic wonders. They also sell wood frogs.,,YES,YES
Black Tabby (Maine Coon),Yes,Yes,,This cat can be bought by an alliance player and given to a horde player. It is bind on use,"Old Alterac saying: 'A cat has nine lives, but needs only one.'",YES,,YES
Bombay,Yes,Yes,,This cat can be bought by an alliance player and given to a horde player. It is bind on use,Donni Anthania plans to have a bombay buried with her when she dies. A wise adventurer can put its talents to much better use.,YES,,YES
Cornish Rex,Yes,Yes,,This cat can be bought by an alliance player and given to a horde player. It is bind on use,Donni Anthania invites these cats to her tea parties. But she doesn't serve their favorite drink: the tears of their enemies.,YES,,YES
Corrupted Kitten,No,??,Database says nothing about how to obtain it,,Found behind a tree in Felwood.,YES,,YES
Midnight,Yes,Yes,,5% drop rate from boss in Kara Crypts,"Ride with the moon (and this furry, whiskered witch) in the dead of night!",YES,,YES
Mr. Bigglesworth,Yes,Yes,,Drops 100% from Kel'Thuzad,"Upon exiting the freezing necropolis of Naxxramas, Mr. Bigglesworth promptly found a warm spot in the sun to take a long nap in.",YES,,NO
Orange Tabby,Yes,Yes,,This cat can be bought by an alliance player and given to a horde player. It is bind on use,The last person who tried to housebreak this cat quickly learned that a soiled rug is better than a shredded everything-else.,YES,,YES
Siamese,Yes,Yes,,This cat can be bought by an alliance player and given to a horde player. It is bind on use,Known for its blue eyes. Also considered a delicacy by giant murlocs.,YES,,YES
Silver Tabby,Yes,Yes,,This cat can be bought by an alliance player and given to a horde player. It is bind on use,Sleeping is this cat's second favorite activity. The first is yawning.,YES,,YES
