Quest ID,Quest Title,Quest URL,Comments
1,"The ""Chow"" Quest (123)aa",https://www.wowhead.com/classic/quest=1,
2,Sharptalon's Claw,https://www.wowhead.com/classic/quest=2,"Make sure you've completed ""The Ashenvale Hunt"" before trying to get his claw(As well as the cat and bear equivilents)"
3,Classic Quests,https://www.wowhead.com/classic/quest=3,
4,Classic Quests,https://www.wowhead.com/classic/quest=4,
5,Jitters' Growling Gut,https://www.wowhead.com/classic/quest=5,
6,Bounty on Garrick Padfoot,https://www.wowhead.com/classic/quest=6,"Subject: ""Location""
57,48 | Subject: ""Go High""
For those who don't have a coordinate add-on yet, or just want an extra hint, here's what worked for my lvl 5 warlock...enter the Defias area on the far right side by the river, where it meets the wall. 

Consider the area as a U shape.  Start here:
x
U

Follow the hillside as high up as you can get & you shouldn't attract much, if any, attention of those below.  At the bottom left of the U....xU..will be about as low as you will come to the Defias.  You may need to pause and wait until the current person on guard looks and walks away to continue your run.

As you continue on the bottom part of the U, you'll eventually find that the hillside contours up and that there is a path behind the hillside that will lead you to Garrick's shack at the bottom right side of the U...Ux.  Here you can pause to reflect, buff up or whatever, before you start your battle. Garrick is lvl 5 and his thugmate is lvl 3.  Both will participate in the fight.  I returned the same way I came without any problems.  Good luck! | Garrick Padfoot is located at (57,48) in Northshire Vineyard. He's a level 5, and will have at least one other level 5 with him. He's next to a little shack, which is next to the mountains. Just kill him and take his head!"
7,Kobold Camp Cleanup,https://www.wowhead.com/classic/quest=7,
8,A Rogue's Deal,https://www.wowhead.com/classic/quest=8,
9,The Killing Fields,https://www.wowhead.com/classic/quest=9,"Subject: ""decent xp for a quest ^.^""
This quest also grants 1050 xp. So definitely not a bad quest | Subject: ""<Blank>""
There seemed to be plenty for me on every farm infact.

Most at 40,49

(Alexston Farmstead for those without cosmos)"
10,The Scrimshank Redemption,https://www.wowhead.com/classic/quest=10,
11,Riverpaw Gnoll Bounty,https://www.wowhead.com/classic/quest=11,"Subject: ""Khaless""
TLOC is 25,90

South of westbrooke garrison is about 5 riverpaw camps,they drops q items.

I completed this q in 5 min."
12,The People's Militia,https://www.wowhead.com/classic/quest=12,
13,The People's Militia,https://www.wowhead.com/classic/quest=13,
14,The People's Militia,https://www.wowhead.com/classic/quest=14,
15,Investigate Echo Ridge,https://www.wowhead.com/classic/quest=15,
16,Give Gerard a Drink,https://www.wowhead.com/classic/quest=16,"Complete Quest Text (from Gerard Tiller):

""Thanks, <name>! And come back if you want to trade again."""
17,Uldaman Reagent Run,https://www.wowhead.com/classic/quest=17,
18,Brotherhood of Thieves,https://www.wowhead.com/classic/quest=18,
