category,slug,url
,,
classes,druid-balance-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/druid/balance/dps-overview-pve
classes,druid-feral-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/druid/feral/dps-overview-pve
classes,hunter-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/hunter/dps-overview-pve
classes,mage-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/mage/dps-overview-pve
classes,paladin-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/paladin/dps-overview-pve
classes,priest-shadow-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/priest/shadow/dps-overview-pve
classes,rogue-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/rogue/dps-overview-pve
classes,shaman-elemental-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/shaman/elemental/dps-overview-pve
classes,shaman-enhancement-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/shaman/enhancement/dps-overview-pve
classes,shaman-enhancement-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/shaman/enhancement/dps-overview-pve
classes,warlock-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/warlock/dps-overview-pve
classes,classes-warrior-fury-dps-overview-pve,https://www.wowhead.com/classic/guide/classes/warrior/fury/dps-overview-pve
classes,druid-feral-tank-overview-pve,https://www.wowhead.com/classic/guide/classes/druid/feral/tank-overview-pve
classes,lights-bulwark-protection-paladin-tanking,https://www.wowhead.com/classic/guide/lights-bulwark-protection-paladin-tanking
classes,classes-warrior-tank-overview-pve,https://www.wowhead.com/classic/guide/classes/warrior/tank-overview-pve
classes,classes-druid-healer-overview-pve,https://www.wowhead.com/classic/guide/classes/druid/healer-overview-pve
classes,classes-paladin-healer-overview-pve,https://www.wowhead.com/classic/guide/classes/paladin/healer-overview-pve
classes,classes-priest-healer-overview-pve,https://www.wowhead.com/classic/guide/classes/priest/healer-overview-pve
classes,classes-shaman-healer-overview-pve,https://www.wowhead.com/classic/guide/classes/shaman/healer-overview-pve
,,
best-in-slot,balance-druid-dps-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-balance-druid-dps-blackwing-lair-zg-best-in-slot-gear
best-in-slot,feral-druid-dps-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-feral-druid-dps-blackwing-lair-zg-best-in-slot-gear
best-in-slot,druid-healing-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-druid-healing-blackwing-lair-zg-best-in-slot-gear
best-in-slot,feral-druid-tank-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-feral-druid-tank-blackwing-lair-zg-best-in-slot-gear
best-in-slot,hunter-dps-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-hunter-dps-blackwing-lair-zg-best-in-slot-gear
best-in-slot,mage-dps-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-mage-dps-blackwing-lair-zg-best-in-slot-gear
best-in-slot,paladin-dps-blackwing-lair-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-paladin-dps-blackwing-lair-best-in-slot-gear
best-in-slot,paladin-healing-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-paladin-healing-blackwing-lair-zg-best-in-slot-gear
best-in-slot,paladin-tank-blackwing-lair-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-paladin-tank-blackwing-lair-best-in-slot-gear
best-in-slot,shadow-priest-dps-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-shadow-priest-dps-blackwing-lair-zg-best-in-slot-gear
best-in-slot,priest-healing-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-priest-healing-blackwing-lair-zg-best-in-slot-gear
best-in-slot,rogue-dps-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-rogue-dps-blackwing-lair-zg-best-in-slot-gear
best-in-slot,elemental-shaman-dps-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-elemental-shaman-dps-blackwing-lair-zg-best-in-slot-gear
best-in-slot,enhancement-shaman-dps-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-enhancement-shaman-dps-blackwing-lair-zg-best-in-slot-gear
best-in-slot,shaman-healing-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-shaman-healing-blackwing-lair-zg-best-in-slot-gear
best-in-slot,warlock-dps-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-warlock-dps-blackwing-lair-zg-best-in-slot-gear
best-in-slot,fury-warrior-dps-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-fury-warrior-dps-blackwing-lair-zg-best-in-slot-gear
best-in-slot,warrior-tank-blackwing-lair-zg-best-in-slot-gear,https://www.wowhead.com/classic/guide/wow-classic-warrior-tank-blackwing-lair-zg-best-in-slot-gear
